model	encoder	prefix	source_cell_line	chrom	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	valid	K562	chr13	SNS	0.12679178	0.32439357	1120886	1120886	2241772	0.60001003
Comprehensive	sage	valid	K562	chr15	CNS	0.42427661	0.46187204	1346556	1346556	2693112	0.56002874
Comprehensive	sage	valid	K562	chr15	MNS	0.17099595	0.33581797	1346556	1346556	2693112	0.58803036
Comprehensive	sage	valid	K562	chr15	SNS	0.10179389	0.3193824	1346556	1346556	2693112	0.603317
GM12878	sage	test_inter	K562	chr14	CNS	0.39987666	0.45553422	1042351	1042351	2084702	0.85303784
GM12878	sage	test_inter	K562	chr14	MNS	0.13776007	0.32696874	1042351	1042351	2084702	0.90195487
GM12878	sage	test_inter	K562	chr14	SNS	0.074345472	0.31412705	1042351	1042351	2084702	0.90717162
GM12878	sage	test_inter	K562	chr22	CNS	0.32913426	0.41413537	806470	806470	1612940	0.84560686
GM12878	sage	test_inter	K562	chr22	MNS	0.12892618	0.32484131	806470	806470	1612940	0.88625809
GM12878	sage	test_inter	K562	chr22	SNS	0.049836574	0.3108125	806470	806470	1612940	0.89540579
GM12878	sage	test_inter	K562	chrX	CNS	0.41749819	0.46321031	1554244	1554244	3108488	0.87028609
GM12878	sage	test_inter	K562	chrX	MNS	0.15475833	0.33173747	1554244	1554244	3108488	0.91448266
GM12878	sage	test_inter	K562	chrX	SNS	0.1021641	0.31909364	1554244	1554244	3108488	0.91766226
GM12878	sage	test_intra	GM12878	chr14	CNS	0.34461524	0.42305287	2130736	2130736	4261472	0.83849155
GM12878	sage	test_intra	GM12878	chr14	MNS	0.12338959	0.32367359	2130736	2130736	4261472	0.88523657
GM12878	sage	test_intra	GM12878	chr14	SNS	0.063897766	0.31250888	2130736	2130736	4261472	0.89210932
GM12878	sage	test_intra	GM12878	chr22	CNS	0.33283236	0.4172125	954964	954964	1909928	0.82887454
GM12878	sage	test_intra	GM12878	chr22	MNS	0.11324739	0.32139325	954964	954964	1909928	0.87836299
GM12878	sage	test_intra	GM12878	chr22	SNS	0.054568669	0.31125718	954964	954964	1909928	0.88610215
GM12878	sage	test_intra	GM12878	chrX	CNS	0.39153347	0.44894028	2390643	2390643	4781286	0.84962715
GM12878	sage	test_intra	GM12878	chrX	MNS	0.14100305	0.32815599	2390643	2390643	4781286	0.89876853
GM12878	sage	test_intra	GM12878	chrX	SNS	0.089718483	0.31670155	2390643	2390643	4781286	0.90311997
GM12878	sage	valid	GM12878	chr13	CNS	0.36000045	0.43050824	2138918	2138918	4277836	0.85301678
GM12878	sage	valid	GM12878	chr13	MNS	0.13290056	0.32598755	2138918	2138918	4277836	0.89613136
GM12878	sage	valid	GM12878	chr13	SNS	0.077976511	0.31470624	2138918	2138918	4277836	0.90119186
GM12878	sage	valid	GM12878	chr15	CNS	0.33739332	0.42055731	1888914	1888914	3777828	0.83214363
GM12878	sage	valid	GM12878	chr15	MNS	0.11492606	0.32173326	1888914	1888914	3777828	0.88102694
GM12878	sage	valid	GM12878	chr15	SNS	0.055610112	0.31142153	1888914	1888914	3777828	0.88833541
K562	sage	test_inter	GM12878	chr14	CNS	0.35827919	0.42879386	2130736	2130736	4261472	0.58280654
K562	sage	test_inter	GM12878	chr14	MNS	0.13001227	0.32526855	2130736	2130736	4261472	0.63804687
K562	sage	test_inter	GM12878	chr14	SNS	0.07006979	0.31354756	2130736	2130736	4261472	0.66490693
K562	sage	test_inter	GM12878	chr22	CNS	0.34967882	0.42420757	954964	954964	1909928	0.5793848
K562	sage	test_inter	GM12878	chr22	MNS	0.12117963	0.32320604	954964	954964	1909928	0.63566313
K562	sage	test_inter	GM12878	chr22	SNS	0.061040722	0.31229	954964	954964	1909928	0.66444589
K562	sage	test_inter	GM12878	chrX	CNS	0.40029294	0.45266039	2390643	2390643	4781286	0.58974944
K562	sage	test_inter	GM12878	chrX	MNS	0.14583065	0.32946587	2390643	2390643	4781286	0.64748864
K562	sage	test_inter	GM12878	chrX	SNS	0.095341122	0.31775767	2390643	2390643	4781286	0.66729657
K562	sage	test_intra	K562	chr14	CNS	0.41235809	0.46095556	1042351	1042351	2084702	0.59172729
K562	sage	test_intra	K562	chr14	MNS	0.14514203	0.32886462	1042351	1042351	2084702	0.65116234
K562	sage	test_intra	K562	chr14	SNS	0.082295657	0.31553302	1042351	1042351	2084702	0.67610242
K562	sage	test_intra	K562	chr22	CNS	0.34810731	0.42202451	806470	806470	1612940	0.58645141
K562	sage	test_intra	K562	chr22	MNS	0.13982339	0.32738584	806470	806470	1612940	0.63438936
K562	sage	test_intra	K562	chr22	SNS	0.057611732	0.31204412	806470	806470	1612940	0.67149245
K562	sage	test_intra	K562	chrX	CNS	0.42519277	0.46683451	1554244	1554244	3108488	0.60424787
K562	sage	test_intra	K562	chrX	MNS	0.16067882	0.33352484	1554244	1554244	3108488	0.66275248
K562	sage	test_intra	K562	chrX	SNS	0.10986741	0.32061432	1554244	1554244	3108488	0.68060638
K562	sage	valid	K562	chr13	CNS	0.412648	0.45951867	1120886	1120886	2241772	0.60022086
K562	sage	valid	K562	chr13	MNS	0.16114456	0.33312467	1120886	1120886	2241772	0.65707131
K562	sage	valid	K562	chr13	SNS	0.10093576	0.31888803	1120886	1120886	2241772	0.67757501
K562	sage	valid	K562	chr15	CNS	0.38293201	0.4442034	1346556	1346556	2693112	0.59116707
K562	sage	valid	K562	chr15	MNS	0.13806204	0.32712156	1346556	1346556	2693112	0.64751512
K562	sage	valid	K562	chr15	SNS	0.074185441	0.31431809	1346556	1346556	2693112	0.67459859
