model	encoder	prefix	source_cell_line	chrom	subgraph_index	negative_type	auc	ap	n_positive	n_negative	n	mean_score
Comprehensive	sage	test	GM12878	chr14	5	SNS	0.14861214	0.32927314	95864	95864	191728	0.59300929
Comprehensive	sage	test	GM12878	chr14	6	CNS	0.41253891	0.45329102	108457	108457	216914	0.54719191
Comprehensive	sage	test	GM12878	chr14	6	MNS	0.14878869	0.32916505	108457	108457	216914	0.57666049
Comprehensive	sage	test	GM12878	chr14	6	SNS	0.087447833	0.31708594	108457	108457	216914	0.59048247
Comprehensive	sage	test	GM12878	chr14	7	CNS	0.3956258	0.44457125	127823	127823	255646	0.55151209
Comprehensive	sage	test	GM12878	chr14	7	MNS	0.15367961	0.33129056	127823	127823	255646	0.57919264
Comprehensive	sage	test	GM12878	chr14	7	SNS	0.089225097	0.31703166	127823	127823	255646	0.59415293
Comprehensive	sage	test	GM12878	chr14	8	CNS	0.40104817	0.44865878	122596	122596	245192	0.55001696
Comprehensive	sage	test	GM12878	chr14	8	MNS	0.15244153	0.33064015	122596	122596	245192	0.57779277
Comprehensive	sage	test	GM12878	chr14	8	SNS	0.08765738	0.31689186	122596	122596	245192	0.59281789
Comprehensive	sage	test	GM12878	chr14	9	CNS	0.39291971	0.44141871	129173	129173	258346	0.54956743
Comprehensive	sage	test	GM12878	chr14	9	MNS	0.14493193	0.32872053	129173	129173	258346	0.57807604
Comprehensive	sage	test	GM12878	chr14	9	SNS	0.077973778	0.3153858	129173	129173	258346	0.59429853
Comprehensive	sage	test	GM12878	chr22	0	CNS	0.42723152	0.46072752	15145	15145	30290	0.54443859
Comprehensive	sage	test	GM12878	chr22	0	MNS	0.23147347	0.35841948	15145	15145	30290	0.55940292
Comprehensive	sage	test	GM12878	chr22	0	SNS	0.13757536	0.32841804	15145	15145	30290	0.57724406
Comprehensive	sage	test	GM12878	chr22	1	CNS	0.41192837	0.45462109	82786	82786	165572	0.54279914
Comprehensive	sage	test	GM12878	chr22	1	MNS	0.14371221	0.32816248	82786	82786	165572	0.57066721
Comprehensive	sage	test	GM12878	chr22	1	SNS	0.058656204	0.31274041	82786	82786	165572	0.59188546
Comprehensive	sage	test	GM12878	chr22	2	CNS	0.38616412	0.44095921	111320	111320	222640	0.55307084
Comprehensive	sage	test	GM12878	chr22	2	MNS	0.15332337	0.33150284	111320	111320	222640	0.58028819
Comprehensive	sage	test	GM12878	chr22	2	SNS	0.082987892	0.3157598	111320	111320	222640	0.59744748
Comprehensive	sage	test	GM12878	chr22	3	CNS	0.38479908	0.43926585	132315	132315	264630	0.55535001
Comprehensive	sage	test	GM12878	chr22	3	MNS	0.15213883	0.33081752	132315	132315	264630	0.58316603
Comprehensive	sage	test	GM12878	chr22	3	SNS	0.088565357	0.31695506	132315	132315	264630	0.5980494
Comprehensive	sage	test	GM12878	chr22	4	CNS	0.3831902	0.43856906	131392	131392	262784	0.55537681
Comprehensive	sage	test	GM12878	chr22	4	MNS	0.15332919	0.3313232	131392	131392	262784	0.58304878
Comprehensive	sage	test	GM12878	chr22	4	SNS	0.090203069	0.31727648	131392	131392	262784	0.59793077
Comprehensive	sage	test	GM12878	chr22	5	CNS	0.37770483	0.43754456	136281	136281	272562	0.55166084
Comprehensive	sage	test	GM12878	chr22	5	MNS	0.13941011	0.32738036	136281	136281	272562	0.58017018
Comprehensive	sage	test	GM12878	chr22	5	SNS	0.06650947	0.31355758	136281	136281	272562	0.59903475
Comprehensive	sage	test	GM12878	chr22	6	CNS	0.38620663	0.44080289	132492	132492	264984	0.54894703
Comprehensive	sage	test	GM12878	chr22	6	MNS	0.13739067	0.32682046	132492	132492	264984	0.57853472
Comprehensive	sage	test	GM12878	chr22	6	SNS	0.063765219	0.31338007	132492	132492	264984	0.59727291
Comprehensive	sage	test	GM12878	chr22	7	CNS	0.40139955	0.44707873	107163	107163	214326	0.55573603
Comprehensive	sage	test	GM12878	chr22	7	MNS	0.15495482	0.332116	107163	107163	214326	0.58488484
Comprehensive	sage	test	GM12878	chr22	7	SNS	0.10277838	0.31941884	107163	107163	214326	0.59725902
Comprehensive	sage	test	GM12878	chr22	8	CNS	0.40170217	0.44700283	106070	106070	212140	0.55502458
Comprehensive	sage	test	GM12878	chr22	8	MNS	0.15321159	0.33157032	106070	106070	212140	0.58425261
Comprehensive	sage	test	GM12878	chr22	8	SNS	0.10114818	0.31913539	106070	106070	212140	0.5968246
Comprehensive	sage	test	GM12878	chrX	0	CNS	0.41705425	0.45623991	88441	88441	176882	0.55275765
Comprehensive	sage	test	GM12878	chrX	0	MNS	0.16736545	0.33539607	88441	88441	176882	0.57824927
Comprehensive	sage	test	GM12878	chrX	0	SNS	0.10062067	0.31903003	88441	88441	176882	0.59409274
Comprehensive	sage	test	GM12878	chrX	1	CNS	0.43445991	0.46648187	83606	83606	167212	0.55628668
Comprehensive	sage	test	GM12878	chrX	1	MNS	0.1677593	0.3349831	83606	83606	167212	0.5851753
Comprehensive	sage	test	GM12878	chrX	1	SNS	0.12670702	0.32424682	83606	83606	167212	0.59409201
Comprehensive	sage	test	GM12878	chrX	10	CNS	0.43245358	0.46577742	78976	78976	157952	0.55631037
Comprehensive	sage	test	GM12878	chrX	10	MNS	0.16834031	0.33591778	78976	78976	157952	0.58557938
Comprehensive	sage	test	GM12878	chrX	10	SNS	0.11714114	0.32233714	78976	78976	157952	0.59596418
Comprehensive	sage	test	GM12878	chrX	11	CNS	0.4353028	0.46703132	48710	48710	97420	0.54320871
Comprehensive	sage	test	GM12878	chrX	11	MNS	0.19565802	0.34396165	48710	48710	97420	0.56130541
Comprehensive	sage	test	GM12878	chrX	11	SNS	0.080250608	0.31673167	48710	48710	97420	0.58903602
Comprehensive	sage	test	GM12878	chrX	12	CNS	0.44884923	0.4749982	29663	29663	59326	0.53556399
Comprehensive	sage	test	GM12878	chrX	12	MNS	0.23341551	0.35883653	29663	29663	59326	0.54779234
Comprehensive	sage	test	GM12878	chrX	12	SNS	0.068414139	0.3155252	29663	29663	59326	0.58373565
Comprehensive	sage	test	GM12878	chrX	13	CNS	0.43721164	0.46828318	75029	75029	150058	0.55488289
Comprehensive	sage	test	GM12878	chrX	13	MNS	0.16733497	0.3356767	75029	75029	150058	0.58438779
Comprehensive	sage	test	GM12878	chrX	13	SNS	0.12657995	0.32429962	75029	75029	150058	0.59325792
Comprehensive	sage	test	GM12878	chrX	14	CNS	0.43218769	0.46492902	79427	79427	158854	0.55385438
Comprehensive	sage	test	GM12878	chrX	14	MNS	0.1651943	0.33519524	79427	79427	158854	0.58341799
Comprehensive	sage	test	GM12878	chrX	14	SNS	0.11075282	0.32101726	79427	79427	158854	0.59455516
Comprehensive	sage	test	GM12878	chrX	15	CNS	0.43604225	0.46715033	81500	81500	163000	0.55329939
Comprehensive	sage	test	GM12878	chrX	15	MNS	0.17287646	0.3374415	81500	81500	163000	0.58152234
Comprehensive	sage	test	GM12878	chrX	15	SNS	0.12528367	0.32408777	81500	81500	163000	0.59172072
Comprehensive	sage	test	GM12878	chrX	16	CNS	0.4514453	0.47468309	67524	67524	135048	0.55443068
Comprehensive	sage	test	GM12878	chrX	16	MNS	0.17894503	0.33944234	67524	67524	135048	0.58322333
Comprehensive	sage	test	GM12878	chrX	16	SNS	0.14482477	0.32854019	67524	67524	135048	0.59025289
Comprehensive	sage	test	GM12878	chrX	17	CNS	0.4565747	0.47900454	61699	61699	123398	0.55033022
Comprehensive	sage	test	GM12878	chrX	17	MNS	0.17261176	0.33668354	61699	61699	123398	0.57922852
Comprehensive	sage	test	GM12878	chrX	17	SNS	0.13017989	0.32499811	61699	61699	123398	0.58819129
Comprehensive	sage	test	GM12878	chrX	18	CNS	0.47125631	0.48558164	50744	50744	101488	0.55139437
Comprehensive	sage	test	GM12878	chrX	18	MNS	0.17246922	0.33691089	50744	50744	101488	0.58253277
Comprehensive	sage	test	GM12878	chrX	18	SNS	0.14483679	0.32870397	50744	50744	101488	0.58783643
Comprehensive	sage	test	GM12878	chrX	19	CNS	0.44245203	0.46860089	73186	73186	146372	0.55920715
Comprehensive	sage	test	GM12878	chrX	19	MNS	0.19337989	0.34607572	73186	73186	146372	0.58563682
Comprehensive	sage	test	GM12878	chrX	19	SNS	0.15478233	0.33150586	73186	73186	146372	0.59333624
Comprehensive	sage	test	GM12878	chrX	2	CNS	0.41755534	0.45914878	92575	92575	185150	0.55548234
Comprehensive	sage	test	GM12878	chrX	2	MNS	0.15999076	0.33337436	92575	92575	185150	0.58359369
Comprehensive	sage	test	GM12878	chrX	2	SNS	0.10055499	0.31900273	92575	92575	185150	0.59709722
Comprehensive	sage	test	GM12878	chrX	20	CNS	0.4422133	0.46949279	73886	73886	147772	0.55151018
Comprehensive	sage	test	GM12878	chrX	20	MNS	0.16327949	0.33486124	73886	73886	147772	0.58069058
Comprehensive	sage	test	GM12878	chrX	20	SNS	0.10995207	0.32076826	73886	73886	147772	0.59201419
Comprehensive	sage	test	GM12878	chrX	21	CNS	0.44213389	0.47125021	78364	78364	156728	0.54920064
Comprehensive	sage	test	GM12878	chrX	21	MNS	0.1563348	0.33177125	78364	78364	156728	0.57879388
Comprehensive	sage	test	GM12878	chrX	21	SNS	0.10217124	0.31937666	78364	78364	156728	0.59082966
Comprehensive	sage	test	GM12878	chrX	22	CNS	0.44177758	0.46995513	76902	76902	153804	0.55347639
Comprehensive	sage	test	GM12878	chrX	22	MNS	0.16881366	0.33580423	76902	76902	153804	0.5820326
Comprehensive	sage	test	GM12878	chrX	22	SNS	0.1214096	0.32312359	76902	76902	153804	0.5923161
Comprehensive	sage	test	GM12878	chrX	23	CNS	0.43091452	0.46249824	76114	76114	152228	0.55098348
Comprehensive	sage	test	GM12878	chrX	23	MNS	0.15845471	0.33200533	76114	76114	152228	0.58031271
Comprehensive	sage	test	GM12878	chrX	23	SNS	0.10352593	0.31956972	76114	76114	152228	0.59234565
Comprehensive	sage	test	GM12878	chrX	24	CNS	0.43206827	0.46124402	79192	79192	158384	0.55468925
Comprehensive	sage	test	GM12878	chrX	24	MNS	0.17197998	0.33724479	79192	79192	158384	0.58232553
Comprehensive	sage	test	GM12878	chrX	24	SNS	0.12255279	0.32326416	79192	79192	158384	0.59317029
Comprehensive	sage	test	GM12878	chrX	25	CNS	0.44393246	0.46849463	68732	68732	137464	0.55768581
Comprehensive	sage	test	GM12878	chrX	25	MNS	0.17841925	0.3389692	68732	68732	137464	0.58678187
Comprehensive	sage	test	GM12878	chrX	25	SNS	0.15317047	0.33075564	68732	68732	137464	0.59198846
Comprehensive	sage	test	GM12878	chrX	26	CNS	0.42632342	0.45918566	85313	85313	170626	0.55948239
Comprehensive	sage	test	GM12878	chrX	26	MNS	0.17249988	0.33790861	85313	85313	170626	0.5875496
Comprehensive	sage	test	GM12878	chrX	26	SNS	0.1299195	0.3253364	85313	85313	170626	0.59633437
Comprehensive	sage	test	GM12878	chrX	27	CNS	0.43946641	0.46930749	75569	75569	151138	0.54927125
Comprehensive	sage	test	GM12878	chrX	27	MNS	0.15560829	0.33184779	75569	75569	151138	0.57909333
Comprehensive	sage	test	GM12878	chrX	27	SNS	0.10242393	0.31942884	75569	75569	151138	0.59109819
Comprehensive	sage	test	GM12878	chrX	28	CNS	0.44500732	0.47094933	63816	63816	127632	0.56158199
Comprehensive	sage	test	GM12878	chrX	28	MNS	0.19137368	0.34383489	63816	63816	127632	0.5890009
Comprehensive	sage	test	GM12878	chrX	28	SNS	0.16478311	0.3337976	63816	63816	127632	0.59442041
Comprehensive	sage	test	GM12878	chrX	29	CNS	0.44314855	0.47157162	71009	71009	142018	0.55456895
Comprehensive	sage	test	GM12878	chrX	29	MNS	0.170364	0.33609931	71009	71009	142018	0.58356745
Comprehensive	sage	test	GM12878	chrX	29	SNS	0.13098295	0.32524226	71009	71009	142018	0.59204893
Comprehensive	sage	test	GM12878	chrX	3	CNS	0.42176953	0.45893278	91865	91865	183730	0.55316299
Comprehensive	sage	test	GM12878	chrX	3	MNS	0.15481263	0.33172391	91865	91865	183730	0.58244067
Comprehensive	sage	test	GM12878	chrX	3	SNS	0.097919949	0.31866141	91865	91865	183730	0.59513842
Comprehensive	sage	test	GM12878	chrX	30	CNS	0.43605307	0.4681715	73169	73169	146338	0.55119585
Comprehensive	sage	test	GM12878	chrX	30	MNS	0.15346645	0.33098816	73169	73169	146338	0.58205898
Comprehensive	sage	test	GM12878	chrX	30	SNS	0.098811992	0.31864092	73169	73169	146338	0.59400898
Comprehensive	sage	test	GM12878	chrX	31	CNS	0.44116267	0.47207099	72160	72160	144320	0.54783202
Comprehensive	sage	test	GM12878	chrX	31	MNS	0.14542345	0.32900057	72160	72160	144320	0.57993773
Comprehensive	sage	test	GM12878	chrX	31	SNS	0.088084738	0.31683882	72160	72160	144320	0.59272748
Comprehensive	sage	test	GM12878	chrX	4	CNS	0.4263853	0.45867508	87203	87203	174406	0.55437633
Comprehensive	sage	test	GM12878	chrX	4	MNS	0.16348501	0.33484433	87203	87203	174406	0.58307056
Comprehensive	sage	test	GM12878	chrX	4	SNS	0.11174307	0.32145152	87203	87203	174406	0.59394855
Comprehensive	sage	test	GM12878	chrX	5	CNS	0.44270304	0.46913145	73860	73860	147720	0.55063084
Comprehensive	sage	test	GM12878	chrX	5	MNS	0.15864607	0.33266393	73860	73860	147720	0.58095169
Comprehensive	sage	test	GM12878	chrX	5	SNS	0.11705381	0.32246924	73860	73860	147720	0.58967036
Comprehensive	sage	test	GM12878	chrX	6	CNS	0.44440256	0.47148351	75640	75640	151280	0.54840378
Comprehensive	sage	test	GM12878	chrX	6	MNS	0.15595634	0.33171431	75640	75640	151280	0.57836979
Comprehensive	sage	test	GM12878	chrX	6	SNS	0.10614409	0.32021321	75640	75640	151280	0.58938627
Comprehensive	sage	test	GM12878	chrX	7	CNS	0.43953195	0.47080157	75475	75475	150950	0.54487998
Comprehensive	sage	test	GM12878	chrX	7	MNS	0.14130524	0.3275337	75475	75475	150950	0.57638506
Comprehensive	sage	test	GM12878	chrX	7	SNS	0.083022889	0.31640562	75475	75475	150950	0.58907352
Comprehensive	sage	test	GM12878	chrX	8	CNS	0.4236983	0.46019849	94598	94598	189196	0.55362236
Comprehensive	sage	test	GM12878	chrX	8	MNS	0.15728082	0.33234616	94598	94598	189196	0.58289188
Comprehensive	sage	test	GM12878	chrX	8	SNS	0.10336799	0.3196174	94598	94598	189196	0.59509469
Comprehensive	sage	test	GM12878	chrX	9	CNS	0.41573251	0.45839825	86696	86696	173392	0.55185971
Comprehensive	sage	test	GM12878	chrX	9	MNS	0.16161749	0.3334324	86696	86696	173392	0.57886907
Comprehensive	sage	test	GM12878	chrX	9	SNS	0.092173212	0.3176068	86696	86696	173392	0.5951451
Comprehensive	sage	test	K562	chr14	0	CNS	0.46102053	0.47752672	21677	21677	43354	0.54204233
Comprehensive	sage	test	K562	chr14	0	MNS	0.24775876	0.36042214	21677	21677	43354	0.55501644
Comprehensive	sage	test	K562	chr14	0	SNS	0.065889846	0.31520318	21677	21677	43354	0.5921553
Comprehensive	sage	test	K562	chr14	1	CNS	0.44211041	0.47430783	63463	63463	126926	0.55111855
Comprehensive	sage	test	K562	chr14	1	MNS	0.16092936	0.33278028	63463	63463	126926	0.57934695
Comprehensive	sage	test	K562	chr14	1	SNS	0.074529538	0.31495016	63463	63463	126926	0.60067517
Comprehensive	sage	test	K562	chr14	10	CNS	0.44430626	0.47522368	62115	62115	124230	0.55833145
Comprehensive	sage	test	K562	chr14	10	MNS	0.17026625	0.33559148	62115	62115	124230	0.58708746
Comprehensive	sage	test	K562	chr14	10	SNS	0.096567315	0.31853209	62115	62115	124230	0.60389587
Comprehensive	sage	test	K562	chr14	11	CNS	0.43884615	0.47317242	65901	65901	131802	0.55722264
Comprehensive	sage	test	K562	chr14	11	MNS	0.1622585	0.33307311	65901	65901	131802	0.58694991
Comprehensive	sage	test	K562	chr14	11	SNS	0.085544826	0.31677577	65901	65901	131802	0.60486187
Comprehensive	sage	test	K562	chr14	12	CNS	0.44632097	0.47574081	57895	57895	115790	0.55539753
Comprehensive	sage	test	K562	chr14	12	MNS	0.15713112	0.33129416	57895	57895	115790	0.58679202
Comprehensive	sage	test	K562	chr14	12	SNS	0.093653571	0.31835763	57895	57895	115790	0.60107853
Comprehensive	sage	test	K562	chr14	13	CNS	0.45725365	0.48053908	46383	46383	92766	0.57016373
Comprehensive	sage	test	K562	chr14	13	MNS	0.19459246	0.34484262	46383	46383	92766	0.6001642
Comprehensive	sage	test	K562	chr14	13	SNS	0.18619439	0.34020083	46383	46383	92766	0.60240775
Comprehensive	sage	test	K562	chr14	14	CNS	0.45187229	0.47993807	53930	53930	107860	0.55715125
Comprehensive	sage	test	K562	chr14	14	MNS	0.16379975	0.33328519	53930	53930	107860	0.58736854
Comprehensive	sage	test	K562	chr14	14	SNS	0.1059324	0.32032457	53930	53930	107860	0.6008258
Comprehensive	sage	test	K562	chr14	15	CNS	0.44431119	0.47609612	61081	61081	122162	0.56151827
Comprehensive	sage	test	K562	chr14	15	MNS	0.1659368	0.33454431	61081	61081	122162	0.592349
Comprehensive	sage	test	K562	chr14	15	SNS	0.10218939	0.31943283	61081	61081	122162	0.60646292
Comprehensive	sage	test	K562	chr14	16	CNS	0.43506254	0.46407856	61487	61487	122974	0.56774552
Comprehensive	sage	test	K562	chr14	16	MNS	0.1755829	0.33787632	61487	61487	122974	0.59773728
Comprehensive	sage	test	K562	chr14	16	SNS	0.1243923	0.32369529	61487	61487	122974	0.60875794
Comprehensive	sage	test	K562	chr14	17	CNS	0.43704346	0.47264929	60818	60818	121636	0.55838363
Comprehensive	sage	test	K562	chr14	17	MNS	0.16237949	0.33335572	60818	60818	121636	0.58773991
Comprehensive	sage	test	K562	chr14	17	SNS	0.080452813	0.31577092	60818	60818	121636	0.60771373
Comprehensive	sage	test	K562	chr14	18	CNS	0.44146391	0.47380401	58268	58268	116536	0.55487226
Comprehensive	sage	test	K562	chr14	18	MNS	0.15398746	0.3307529	58268	58268	116536	0.58564918
Comprehensive	sage	test	K562	chr14	18	SNS	0.074639896	0.31494841	58268	58268	116536	0.60486437
Comprehensive	sage	test	K562	chr14	2	CNS	0.45941811	0.48287665	46796	46796	93592	0.55834151
Comprehensive	sage	test	K562	chr14	2	MNS	0.16689255	0.33461205	46796	46796	93592	0.59041603
Comprehensive	sage	test	K562	chr14	2	SNS	0.1299425	0.3251463	46796	46796	93592	0.59803207
Comprehensive	sage	test	K562	chr14	3	CNS	0.43650862	0.46810037	62728	62728	125456	0.56611008
Comprehensive	sage	test	K562	chr14	3	MNS	0.18125986	0.33990499	62728	62728	125456	0.59550756
Comprehensive	sage	test	K562	chr14	3	SNS	0.1258079	0.32418244	62728	62728	125456	0.60681845
Comprehensive	sage	test	K562	chr14	4	CNS	0.45672943	0.48097019	51168	51168	102336	0.55651535
Comprehensive	sage	test	K562	chr14	4	MNS	0.17194483	0.33606356	51168	51168	102336	0.58647237
Comprehensive	sage	test	K562	chr14	4	SNS	0.11878632	0.32274129	51168	51168	102336	0.59793032
Comprehensive	sage	test	K562	chr14	5	CNS	0.464036	0.48323126	42604	42604	85208	0.56673933
Comprehensive	sage	test	K562	chr14	5	MNS	0.19892858	0.34704706	42604	42604	85208	0.59545124
Comprehensive	sage	test	K562	chr14	5	SNS	0.17716653	0.3371534	42604	42604	85208	0.60022765
Comprehensive	sage	test	K562	chr14	6	CNS	0.4524018	0.47835371	51023	51023	102046	0.56165428
Comprehensive	sage	test	K562	chr14	6	MNS	0.18114072	0.33892506	51023	51023	102046	0.5919951
Comprehensive	sage	test	K562	chr14	6	SNS	0.13407243	0.32605359	51023	51023	102046	0.60135826
Comprehensive	sage	test	K562	chr14	7	CNS	0.44840238	0.47539758	58423	58423	116846	0.56039577
Comprehensive	sage	test	K562	chr14	7	MNS	0.17474594	0.33681157	58423	58423	116846	0.59000432
Comprehensive	sage	test	K562	chr14	7	SNS	0.11270915	0.32138049	58423	58423	116846	0.60301503
Comprehensive	sage	test	K562	chr14	8	CNS	0.45045453	0.47980467	56076	56076	112152	0.55802357
Comprehensive	sage	test	K562	chr14	8	MNS	0.1677153	0.33503045	56076	56076	112152	0.58777804
Comprehensive	sage	test	K562	chr14	8	SNS	0.10780503	0.3206352	56076	56076	112152	0.60113791
Comprehensive	sage	test	K562	chr14	9	CNS	0.44148564	0.47117092	60515	60515	121030	0.56371119
Comprehensive	sage	test	K562	chr14	9	MNS	0.17809875	0.33813935	60515	60515	121030	0.59265597
Comprehensive	sage	test	K562	chr14	9	SNS	0.11834658	0.32253953	60515	60515	121030	0.60523356
Comprehensive	sage	test	K562	chr22	0	CNS	0.45135836	0.4777783	15458	15458	30916	0.5627503
Comprehensive	sage	test	K562	chr22	0	MNS	0.26281517	0.36913695	15458	15458	30916	0.58154894
Comprehensive	sage	test	K562	chr22	0	SNS	0.21089882	0.36106554	15458	15458	30916	0.59005573
Comprehensive	sage	test	K562	chr22	1	CNS	0.36473172	0.42467825	158780	158780	317560	0.55896437
Comprehensive	sage	test	K562	chr22	1	MNS	0.16602864	0.33349739	158780	158780	317560	0.58310322
Comprehensive	sage	test	K562	chr22	1	SNS	0.074300667	0.31493869	158780	158780	317560	0.60324228
Comprehensive	sage	test	K562	chr22	2	CNS	0.33605001	0.40831869	259290	259290	518580	0.56156171
Comprehensive	sage	test	K562	chr22	2	MNS	0.19795101	0.34366305	259290	259290	518580	0.57517213
Comprehensive	sage	test	K562	chr22	2	SNS	0.07101993	0.31481657	259290	259290	518580	0.60356472
Comprehensive	sage	test	K562	chr22	3	CNS	0.43490516	0.47021958	65975	65975	131950	0.56132952
Comprehensive	sage	test	K562	chr22	3	MNS	0.16607884	0.33430772	65975	65975	131950	0.59170513
Comprehensive	sage	test	K562	chr22	3	SNS	0.097090166	0.31856902	65975	65975	131950	0.60728102
Comprehensive	sage	test	K562	chr22	4	CNS	0.43683125	0.4701861	62098	62098	124196	0.56032621
Comprehensive	sage	test	K562	chr22	4	MNS	0.16731373	0.33449193	62098	62098	124196	0.59103991
Comprehensive	sage	test	K562	chr22	4	SNS	0.10066218	0.31921351	62098	62098	124196	0.60599171
Comprehensive	sage	test	K562	chr22	5	CNS	0.4352539	0.47133123	67378	67378	134756	0.55571183
Comprehensive	sage	test	K562	chr22	5	MNS	0.15406769	0.33075639	67378	67378	134756	0.58674738
Comprehensive	sage	test	K562	chr22	5	SNS	0.073911236	0.31487448	67378	67378	134756	0.60634194
Comprehensive	sage	test	K562	chr22	6	CNS	0.43400056	0.47010916	66073	66073	132146	0.55975316
Comprehensive	sage	test	K562	chr22	6	MNS	0.15936537	0.33215577	66073	66073	132146	0.59086482
Comprehensive	sage	test	K562	chr22	6	SNS	0.083603179	0.31637648	66073	66073	132146	0.60837294
Comprehensive	sage	test	K562	chr22	7	CNS	0.4397466	0.47221662	55904	55904	111808	0.56507689
Comprehensive	sage	test	K562	chr22	7	MNS	0.16356388	0.33401656	55904	55904	111808	0.59722831
