image_name,pixel_coords
chr_10_26,"(0, 62)"
chr_10_26,"(5, 62)"
chr_10_26,"(177, 196)"
chr_10_26,"(0, 5)"
chr_10_26,"(0, 59)"
chr_10_26,"(0, 5)"
chr_10_26,"(0, 10)"
chr_10_26,"(5, 73)"
chr_10_26,"(0, 68)"
chr_10_26,"(0, 59)"
chr_10_26,"(10, 52)"
chr_10_26,"(5, 59)"
chr_10_26,"(59, 73)"
chr_10_26,"(62, 73)"
chr_10_26,"(127, 177)"
chr_10_26,"(0, 68)"
chr_10_26,"(177, 196)"
chr_10_26,"(0, 23)"
chr_10_26,"(0, 62)"
chr_10_27,"(79, 141)"
chr_10_27,"(79, 110)"
chr_10_27,"(120, 141)"
chr_10_27,"(120, 153)"
chr_10_27,"(29, 79)"
chr_10_27,"(79, 153)"
chr_10_28,"(0, 43)"
chr_10_28,"(0, 12)"
chr_10_28,"(22, 43)"
chr_10_28,"(122, 160)"
chr_10_28,"(22, 55)"
chr_10_28,"(195, 196)"
chr_10_28,"(195, 196)"
chr_10_28,"(0, 55)"
chr_10_28,"(195, 196)"
chr_10_29,"(119, 187)"
chr_10_29,"(119, 178)"
chr_10_29,"(119, 167)"
chr_10_29,"(24, 62)"
chr_10_29,"(119, 196)"
chr_10_29,"(97, 119)"
chr_10_29,"(124, 143)"
chr_10_29,"(97, 187)"
chr_10_29,"(119, 143)"
chr_10_29,"(103, 119)"
chr_10_29,"(97, 108)"
chr_10_30,"(21, 89)"
chr_10_30,"(21, 80)"
chr_10_30,"(194, 196)"
chr_10_30,"(184, 196)"
chr_10_30,"(132, 152)"
chr_10_30,"(156, 194)"
chr_10_30,"(194, 196)"
chr_10_30,"(21, 69)"
chr_10_30,"(156, 184)"
chr_10_30,"(152, 184)"
chr_10_30,"(152, 194)"
chr_10_30,"(116, 196)"
chr_10_30,"(194, 196)"
chr_10_30,"(21, 152)"
chr_10_30,"(0, 21)"
chr_10_30,"(26, 45)"
chr_10_30,"(0, 89)"
chr_10_30,"(142, 184)"
chr_10_30,"(21, 45)"
chr_10_30,"(5, 21)"
chr_10_30,"(0, 10)"
chr_10_31,"(96, 121)"
chr_10_31,"(86, 121)"
chr_10_31,"(163, 196)"
chr_10_31,"(163, 196)"
chr_10_31,"(34, 54)"
chr_10_31,"(58, 96)"
chr_10_31,"(96, 142)"
chr_10_31,"(185, 196)"
chr_10_31,"(58, 86)"
chr_10_31,"(54, 86)"
chr_10_31,"(54, 96)"
chr_10_31,"(190, 196)"
chr_10_31,"(163, 196)"
chr_10_31,"(18, 121)"
chr_10_31,"(96, 196)"
chr_10_31,"(0, 54)"
chr_10_31,"(121, 196)"
chr_10_31,"(44, 86)"
chr_10_31,"(190, 196)"
chr_10_32,"(0, 23)"
chr_10_32,"(144, 196)"
chr_10_32,"(0, 23)"
chr_10_32,"(65, 144)"
chr_10_32,"(110, 144)"
chr_10_32,"(65, 103)"
chr_10_32,"(182, 196)"
chr_10_32,"(0, 44)"
chr_10_32,"(144, 168)"
chr_10_32,"(144, 196)"
chr_10_32,"(179, 196)"
chr_10_32,"(163, 196)"
chr_10_32,"(144, 196)"
chr_10_32,"(87, 144)"
chr_10_32,"(179, 196)"
chr_10_32,"(92, 144)"
chr_10_32,"(163, 196)"
chr_10_32,"(144, 196)"
chr_10_32,"(65, 156)"
chr_10_32,"(0, 23)"
chr_10_32,"(144, 163)"
chr_10_32,"(0, 103)"
chr_10_32,"(168, 179)"
chr_10_32,"(182, 196)"
chr_10_32,"(182, 196)"
chr_10_32,"(23, 103)"
chr_10_32,"(163, 196)"
chr_10_32,"(179, 196)"
chr_10_32,"(182, 196)"
chr_10_32,"(144, 196)"
chr_10_32,"(92, 103)"
chr_10_32,"(168, 196)"
chr_10_33,"(189, 196)"
chr_10_33,"(46, 102)"
chr_10_33,"(102, 184)"
chr_10_33,"(0, 46)"
chr_10_33,"(195, 196)"
chr_10_33,"(12, 46)"
chr_10_33,"(0, 5)"
chr_10_33,"(102, 181)"
chr_10_33,"(84, 102)"
chr_10_33,"(46, 70)"
chr_10_33,"(46, 181)"
chr_10_33,"(102, 195)"
chr_10_33,"(81, 112)"
chr_10_33,"(65, 181)"
chr_10_33,"(46, 112)"
chr_10_33,"(140, 166)"
chr_10_33,"(0, 46)"
chr_10_33,"(81, 102)"
chr_10_33,"(0, 46)"
chr_10_33,"(65, 166)"
chr_10_33,"(140, 181)"
chr_10_33,"(46, 117)"
chr_10_33,"(0, 58)"
chr_10_33,"(46, 65)"
chr_10_33,"(0, 5)"
chr_10_33,"(70, 81)"
chr_10_33,"(195, 196)"
chr_10_33,"(189, 196)"
chr_10_33,"(140, 184)"
chr_10_33,"(102, 135)"
chr_10_33,"(84, 184)"
chr_10_33,"(84, 112)"
chr_10_33,"(102, 196)"
chr_10_33,"(0, 5)"
chr_10_33,"(65, 112)"
chr_10_33,"(81, 184)"
chr_10_33,"(84, 195)"
chr_10_33,"(46, 184)"
chr_10_33,"(0, 5)"
chr_10_33,"(70, 196)"
chr_10_34,"(91, 166)"
chr_10_34,"(0, 4)"
chr_10_34,"(4, 86)"
chr_10_34,"(97, 196)"
chr_10_34,"(4, 83)"
chr_10_34,"(0, 4)"
chr_10_34,"(0, 83)"
chr_10_34,"(4, 97)"
chr_10_34,"(0, 14)"
chr_10_34,"(0, 83)"
chr_10_34,"(0, 14)"
chr_10_34,"(42, 68)"
chr_10_34,"(0, 4)"
chr_10_34,"(0, 68)"
chr_10_34,"(42, 83)"
chr_10_34,"(0, 19)"
chr_10_34,"(97, 196)"
chr_10_34,"(91, 196)"
chr_10_34,"(42, 86)"
chr_10_34,"(4, 37)"
chr_10_34,"(0, 86)"
chr_10_34,"(0, 14)"
chr_10_34,"(4, 100)"
chr_10_34,"(0, 14)"
chr_10_34,"(0, 86)"
chr_10_34,"(0, 97)"
chr_10_34,"(0, 86)"
chr_10_34,"(0, 100)"
chr_10_35,"(167, 190)"
chr_10_35,"(150, 196)"
chr_10_35,"(150, 196)"
chr_10_35,"(0, 68)"
chr_10_35,"(0, 106)"
chr_10_35,"(167, 196)"
chr_10_35,"(132, 180)"
chr_10_35,"(132, 167)"
chr_10_35,"(132, 190)"
chr_10_35,"(190, 196)"
chr_10_35,"(132, 196)"
chr_10_35,"(132, 196)"
chr_10_35,"(167, 196)"
chr_10_35,"(167, 196)"
chr_10_35,"(190, 196)"
chr_10_35,"(190, 196)"
chr_10_35,"(167, 196)"
chr_10_35,"(150, 196)"
chr_10_35,"(132, 196)"
chr_10_35,"(0, 132)"
chr_10_35,"(190, 196)"
chr_10_35,"(0, 132)"
chr_10_35,"(0, 2)"
chr_10_35,"(132, 196)"
chr_10_35,"(190, 196)"
chr_10_35,"(190, 196)"
chr_10_35,"(0, 2)"
chr_10_35,"(132, 196)"
chr_10_35,"(106, 132)"
chr_10_36,"(69, 92)"
chr_10_36,"(52, 147)"
chr_10_36,"(52, 134)"
chr_10_36,"(0, 8)"
chr_10_36,"(69, 138)"
chr_10_36,"(34, 82)"
chr_10_36,"(34, 69)"
chr_10_36,"(34, 92)"
chr_10_36,"(92, 131)"
chr_10_36,"(34, 134)"
chr_10_36,"(34, 131)"
chr_10_36,"(131, 196)"
chr_10_36,"(131, 196)"
chr_10_36,"(69, 131)"
chr_10_36,"(69, 134)"
chr_10_36,"(92, 115)"
chr_10_36,"(92, 134)"
chr_10_36,"(69, 104)"
chr_10_36,"(52, 131)"
chr_10_36,"(34, 169)"
chr_10_36,"(0, 34)"
chr_10_36,"(92, 138)"
chr_10_36,"(0, 34)"
chr_10_36,"(34, 138)"
chr_10_36,"(92, 169)"
chr_10_36,"(92, 196)"
chr_10_36,"(34, 147)"
chr_10_36,"(8, 34)"
chr_10_37,"(0, 49)"
chr_10_37,"(0, 36)"
chr_10_37,"(0, 40)"
chr_10_37,"(0, 33)"
chr_10_37,"(0, 36)"
chr_10_37,"(0, 33)"
chr_10_37,"(33, 196)"
chr_10_37,"(33, 159)"
chr_10_37,"(0, 33)"
chr_10_37,"(0, 36)"
chr_10_37,"(0, 17)"
chr_10_37,"(0, 36)"
chr_10_37,"(0, 6)"
chr_10_37,"(0, 33)"
chr_10_37,"(0, 71)"
chr_10_37,"(0, 40)"
chr_10_37,"(0, 40)"
chr_10_37,"(0, 71)"
chr_10_37,"(0, 159)"
chr_10_37,"(102, 140)"
chr_10_37,"(0, 49)"
chr_10_38,"(169, 188)"
chr_10_38,"(0, 107)"
chr_10_38,"(0, 61)"
chr_10_38,"(0, 61)"
chr_10_38,"(4, 42)"
chr_10_39,"(71, 90)"
chr_10_39,"(0, 9)"
chr_10_43,"(192, 196)"
chr_10_44,"(133, 196)"
chr_10_44,"(121, 133)"
chr_10_44,"(189, 196)"
chr_10_44,"(133, 155)"
chr_10_44,"(121, 196)"
chr_10_44,"(133, 196)"
chr_10_44,"(118, 196)"
chr_10_44,"(121, 155)"
chr_10_44,"(94, 155)"
chr_10_45,"(35, 128)"
chr_10_45,"(23, 35)"
chr_10_45,"(91, 120)"
chr_10_45,"(35, 57)"
chr_10_45,"(23, 128)"
chr_10_45,"(35, 120)"
chr_10_45,"(20, 128)"
chr_10_45,"(23, 57)"
chr_10_45,"(0, 57)"
chr_10_46,"(0, 30)"
chr_10_46,"(0, 22)"
chr_10_46,"(0, 30)"
chr_10_46,"(0, 22)"
chr_10_46,"(0, 30)"
chr_10_47,"(178, 196)"
chr_10_48,"(80, 146)"
chr_10_49,"(157, 196)"
chr_10_49,"(182, 196)"
chr_10_49,"(194, 196)"
chr_10_49,"(148, 168)"
chr_10_49,"(148, 194)"
chr_10_49,"(162, 179)"
chr_10_49,"(162, 189)"
chr_10_49,"(148, 179)"
chr_10_49,"(179, 196)"
chr_10_49,"(162, 182)"
chr_10_49,"(148, 189)"
chr_10_49,"(148, 182)"
chr_10_49,"(127, 196)"
chr_10_49,"(0, 48)"
chr_10_49,"(127, 194)"
chr_10_50,"(59, 151)"
chr_10_50,"(84, 165)"
chr_10_50,"(96, 151)"
chr_10_50,"(50, 70)"
chr_10_50,"(50, 96)"
chr_10_50,"(151, 180)"
chr_10_50,"(64, 81)"
chr_10_50,"(64, 91)"
chr_10_50,"(50, 81)"
chr_10_50,"(81, 151)"
chr_10_50,"(151, 196)"
chr_10_50,"(151, 196)"
chr_10_50,"(64, 84)"
chr_10_50,"(50, 91)"
chr_10_50,"(50, 84)"
chr_10_50,"(29, 115)"
chr_10_50,"(29, 96)"
chr_10_51,"(0, 53)"
chr_10_51,"(0, 67)"
chr_10_51,"(194, 196)"
chr_10_51,"(0, 53)"
chr_10_51,"(53, 82)"
chr_10_51,"(112, 176)"
chr_10_51,"(0, 53)"
chr_10_51,"(53, 176)"
chr_10_51,"(53, 191)"
chr_10_51,"(112, 191)"
chr_10_51,"(0, 17)"
chr_10_51,"(112, 196)"
chr_10_52,"(100, 180)"
chr_10_52,"(96, 196)"
chr_10_52,"(14, 78)"
chr_10_52,"(0, 78)"
chr_10_52,"(0, 93)"
chr_10_52,"(100, 196)"
chr_10_52,"(14, 93)"
chr_10_52,"(14, 100)"
chr_10_53,"(2, 82)"
chr_10_53,"(0, 104)"
chr_10_53,"(187, 196)"
chr_10_53,"(2, 104)"
chr_10_53,"(0, 2)"
chr_10_53,"(187, 196)"
chr_10_53,"(104, 125)"
chr_10_53,"(187, 196)"
chr_10_53,"(187, 196)"
chr_10_54,"(0, 6)"
chr_10_54,"(89, 151)"
chr_10_54,"(0, 6)"
chr_10_54,"(89, 168)"
chr_10_54,"(6, 27)"
chr_10_54,"(89, 182)"
chr_10_54,"(89, 138)"
chr_10_55,"(0, 53)"
chr_10_55,"(0, 70)"
chr_10_55,"(0, 84)"
chr_10_55,"(0, 40)"
chr_10_59,"(193, 196)"
chr_10_59,"(183, 196)"
chr_10_59,"(193, 196)"
chr_10_59,"(193, 196)"
chr_10_59,"(193, 196)"
chr_10_59,"(143, 160)"
chr_10_59,"(130, 160)"
chr_10_59,"(193, 196)"
chr_10_59,"(177, 196)"
chr_10_59,"(130, 146)"
chr_10_59,"(130, 169)"
chr_10_59,"(186, 196)"
chr_10_59,"(177, 196)"
chr_10_59,"(130, 163)"
chr_10_59,"(130, 177)"
chr_10_60,"(95, 152)"
chr_10_60,"(111, 196)"
chr_10_60,"(111, 141)"
chr_10_60,"(177, 196)"
chr_10_60,"(111, 152)"
chr_10_60,"(85, 152)"
chr_10_60,"(95, 167)"
chr_10_60,"(95, 141)"
chr_10_60,"(111, 137)"
chr_10_60,"(167, 196)"
chr_10_60,"(95, 196)"
chr_10_60,"(45, 62)"
chr_10_60,"(177, 196)"
chr_10_60,"(32, 62)"
chr_10_60,"(95, 196)"
chr_10_60,"(79, 167)"
chr_10_60,"(177, 196)"
chr_10_60,"(177, 196)"
chr_10_60,"(32, 48)"
chr_10_60,"(167, 196)"
chr_10_60,"(32, 71)"
chr_10_60,"(88, 152)"
chr_10_60,"(79, 177)"
chr_10_60,"(167, 196)"
chr_10_60,"(32, 65)"
chr_10_60,"(111, 196)"
chr_10_60,"(32, 79)"
chr_10_60,"(167, 196)"
chr_10_60,"(177, 196)"
chr_10_60,"(167, 196)"
chr_10_61,"(0, 54)"
chr_10_61,"(13, 131)"
chr_10_61,"(13, 43)"
chr_10_61,"(79, 144)"
chr_10_61,"(13, 54)"
chr_10_61,"(0, 54)"
chr_10_61,"(0, 69)"
chr_10_61,"(0, 43)"
chr_10_61,"(13, 39)"
chr_10_61,"(69, 144)"
chr_10_61,"(0, 111)"
chr_10_61,"(141, 167)"
chr_10_61,"(79, 196)"
chr_10_61,"(99, 111)"
chr_10_61,"(0, 131)"
chr_10_61,"(0, 69)"
chr_10_61,"(79, 167)"
chr_10_61,"(79, 131)"
chr_10_61,"(69, 172)"
chr_10_61,"(0, 54)"
chr_10_61,"(0, 79)"
chr_10_61,"(69, 167)"
chr_10_61,"(183, 196)"
chr_10_61,"(190, 196)"
chr_10_61,"(13, 172)"
chr_10_61,"(69, 131)"
chr_10_61,"(183, 196)"
chr_10_61,"(79, 141)"
chr_10_61,"(69, 141)"
chr_10_62,"(0, 33)"
chr_10_62,"(0, 46)"
chr_10_62,"(0, 46)"
chr_10_62,"(0, 13)"
chr_10_62,"(43, 69)"
chr_10_62,"(0, 105)"
chr_10_62,"(1, 13)"
chr_10_62,"(0, 33)"
chr_10_62,"(0, 69)"
chr_10_62,"(0, 33)"
chr_10_62,"(0, 74)"
chr_10_62,"(0, 69)"
chr_10_62,"(85, 139)"
chr_10_62,"(92, 186)"
chr_10_62,"(0, 74)"
chr_10_62,"(0, 33)"
chr_10_62,"(85, 196)"
